title,description
The Score,"Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House."
5 Cowok Jagoan,Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.
My Own Man,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood."
The Sound of Your Heart,"Based on Korea's longest-running webtoon series, this comedy follows the ridiculous daily lives of a cartoonist, his girlfriend and his subpar family."
Immoral Tales,"This anthology illustrates the timeless nature of desire in four stories of incest, bloodlust and other forbidden subjects."
The Pass,The lives and careers of two professional soccer players are profoundly impacted by a single moment of intimacy that took place between them.
Atlas Shrugged: Part II,"With the world's economy in dire straits, corporate protagonist Dagny Taggart searches for a solution amid the rubble of a long-abandoned factory."
African America,A disgruntled South African woman leaves her fiancé and embezzles money from her job to pursue her dream of being a Broadway star in New York City.
Hostage to the Devil,"Follow the eerie story of Father Malachi Martin, a disenchanted priest whose belief in demonic possession would lead him to conduct several exorcisms."
Biggie & Tupac,"British documentarian Nick Broomfield investigates the murders of rappers Tupac Shakur and Biggie Smalls, digging up some surprises in the process."
Gunpowder Milkshake,"When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate — and reunites a gun-wielding sisterhood."
Too Handsome to Handle,"Wary of the effects of his good looks on others, a shut-in agrees to attend high school for the first time and meets a girl who's immune to his charm."
Feels Like Ishq,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.
Mugamoodi,A martial arts specialist accidentally becomes a superhero when he steps in – in costume – to help the cops catch a criminal.
India: Nature's Wonderland,Wildlife biologist Liz Bonnin explores the natural wonders of India in this series that reveals the species and cultures unique to this ancient land.
K-On!,"When they're not gorging themselves on sugary snacks, four aspiring high school musicians crank out catchy tunes as members of the Light Music Club."
Perfect Stranger,Ro risks her life to discover the identity of a stranger lurking on the Internet who might hold the answers to her friend's murder.
A Lion in the House,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.
The Little Nyonya,"An orphaned Chinese woman in Singapore refuses to yield to her lowly station in life, setting her family on a tumultuous course for generations."
Unchained Fate,"A young trio aims to protect the world from evil, armed with magic crystals that allow them to control time, commune with spirits, and more."
Girl's Revenge,"After a sex video subjects her friend to mockery and bullying, a transfer student sets out to reveal the truth as campus secrets come to light."
A Trash Truck Christmas,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone."
The Breakup Playlist,A rock musician and a law student whose true passion is music fall in love and pursue a romance that complicates both of their blossoming careers.
El Chema,Follow one man's epic journey as he transforms from wily underage drug smuggler to one of the world's most infamous cartel leaders.
Burlesque: Heart of the Glitter Tribe,"This revealing documentary probes the onstage personas of Portland, Oregon, burlesque performers who practice wildly different art forms."
We Need to Talk,"A happy woman's new love is going great, but she needs one thing: divorce papers from her depressed ex. To get them, trickery may be in order."
Traitors,"As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government."
The Players,"From campy lies to sexy surprises, this collection of vignettes captures the follies of several men as they fumble with fidelity and relationships."
Time: The Kalief Browder Story,"This series traces the tragic case of Kalief Browder, a Bronx teen who spent three horrific years in jail, despite never being convicted of a crime."
Qismat,"A young villager moves to Chandigarh and falls for his bubbly neighbor, but their love story is affected by several heartbreaking twists of fate."
Whose Streets?,"Powered by activists and leaders, this documentary follows the rise of the Black Lives Matter movement following the 2014 killing of Michael Brown."
The Crying Game,"IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love."
Spectral,"When an otherworldly force wreaks havoc on a war-torn European city, an engineer teams up with an elite Special Ops unit to stop it."
The Adventure Club,"After finding a peculiar key, three smart and adventurous kids launch a quest to uncover the whereabouts of a coveted archaeological treasure."
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,Nothing is off limits as Jimmy Carr serves up the most outrageous jokes from his stand-up career in a special that's not for the faint of heart.
Karkar,"After electrocution leaves a wealthy man brain-damaged, his money-hungry aunt and uncle try to con him by marrying him off to a fake relative."
Where's the Money,"Hunting for a stash of stolen money, a sharp-witted slacker from South Central Los Angeles infiltrates an all-white college fraternity."
Genius,Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.
Strictly Ballroom,"Dumped by his partner just before a major dance competition, gifted hoofer Scott Hastings is forced to take a graceless neophyte as his new partner."
Super Monsters,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.
Motichoor Chaknachoor,"Pushing 40 and unemployed, a Dubai returnee desperate for a wife catches the eye of a Bhopal belle, who sees him solely as her ticket out of India."
Bright Star,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
Wonho Chung: Live in New York,"At the Comic Strip's first Arabic stand-up show, Wonho Chung ratchets up the laughs by tackling unique names, life in Jordan, accents and more."
Scandal in Sorrento,"When a marshal moves back to his hometown, he finds a woman renting his property who refuses to leave but soon captures his affection."
Super Monsters Save Halloween,"The Super Monsters use their powers to get their neighbors in the Halloween spirit, then help a nervous friend see there's nothing to be afraid of."
Shadow Parties,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
Nazi Mega Weapons,"This documentary series examines Nazi Germany's military hardware, defenses and technology, including fortifications, U-boats and ballistic missiles."
Resurface,A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.
Engineering Girls,"Three engineering students deal with dorm drama, date around, and do whatever it takes to make their dreams come true."
Ram Jaane,"Two boyhood pals – one righteous, the other a criminal – take very different paths to adulthood. Their love for the same woman may prove disastrous."
The Holiday Calendar,A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future – and pointing her toward love.
Pickpockets,Aspiring teen thieves learn what it takes to be successful pickpockets on the streets of Bogotá from a master in the arts of trickery and deception.
Let's Dance,"Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film “Shall We Dance?”"
Ramayan,A prince's divine destiny to rule as a king is thwarted by his stepmother's scheme to put her own child on the throne in this legendary epic.
La casa de papel,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
Game Winning Hit,An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
The Haunting of Hill House,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
The Ghost and the Tout,"Boisterous hustler Isla, whose life consists of brawling and drinking, acquires the ability to see ghosts, including the recently deceased Mike."
Green Eggs and Ham,"On a road trip to save an endangered animal, polar opposites Guy and Sam learn to try new things like friendship – and a certain delectable dish."
Khosla Ka Ghosla,A cranky control freak must rely on his comically dysfunctional family to pull off a scam on a greedy land shark who's stolen his prized property.
My Happy Family,"A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself."
Pokémon the Movie: I Choose You!,"When Ash tries to pick his first Pokémon on his birthday, he ends up with a stubborn Pikachu and they embark on a journey to find the legendary Ho-Oh."
Lovesick,"In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners."
Maza Pati Karodpati,An orphan girl who has ambitions of marrying a rich man changes her identity to win the heart of a prominent businessman's son.
SGT. Will Gardner,"A homeless vet who has PTSD steals a motorcycle and hits the road, trying to sort out what life means now that war is in the rear-view mirror."
Strong,Gabrielle Reece hosts a transformative competition of tough fitness challenges as 10 women partner with 10 elite personal trainers.
Strong Island,"The forces of family, grief and racial injustice converge in this powerful documentary exploring the murder of filmmaker Yance Ford's brother."
Asoka,This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.
Omar and Salma 3,"In this second sequel of the trilogy, marital strife brews as Omar pursues a music career despite Salma’s wishes that he opt for a more stable job."
Hiroshima: The Real History,This detailed examination of the 1945 Hiroshima bombing includes the prelude to and aftermath of history's controversial first use of atomic weapons.
Skater Girl,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete."
Atlantics,"Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them."
My Step Dad: The Hippie,"When three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married."
Toro,Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all.
La Grande Chaumière Violette,"Reminiscing about his youth in Taiwan's turbulent 1920s, Guo Xuehu reflects on his passion for art, a friendship with a painter – and a doomed romance."
Sicilian Ghost Story,"When officials are slow to investigate a mysterious disappearance, a teen girl searches the dark woods on the outskirts of town for the boy she loves."
The Conjuring 2,"After her daughter unwittingly releases a malevolent spirit in their house in London, a woman enlists the Warrens' help to confront the evil presence."
Office Girls,"A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live."
Christmas in the Smokies,"In the Smoky Mountains, an ambitious woman works to save her family's historic berry farm as her ex, a country music star, returns to town."
American Odyssey,"An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation."
Talaash,"Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage."
Todd Glass: Stand-Up Special,"Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark."
Frank & Lola,A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that she's hiding dark secrets.
Rezeta,"Gorgeous and free-spirited Albanian model Rezeta arrives in Mexico City, and soon uses her charms to take up a carefree new life in the metropolis."
Wish I Was Here,"With his acting career moribund, Aidan Bloom steers a new tack in life, taking over his children's education when private school becomes too costly."
Yeh Hai Bakrapur,"A poor family’s goat suddenly acquires divine status, sparking a widespread frenzy as everyone clamors to benefit from its unexpected celebrity."
Making The Witcher,"Journey into the extraordinary world of ""The Witcher"" — from casting the roles to Jaskier's catchy song — in this behind-the-scenes look at the series."
InuYasha the Movie 4: Fire on the Mystic Island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
Minecraft: Story Mode,"Take control of an adventure set in the Minecraft universe. The future of the world is at stake, and your decisions shape the story – so choose wisely!"
300 Miles to Heaven,"Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home."
Asu Mare 2,To win the heart of his true love – a high-society girl – a hapless commoner plots to change his identity and avoid his embarrassing friends.
Hillbilly Elegy,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
Notes on Blindness,"Based on the audio diaries of academic and theologian John Hull, this film offers an impressionistic re-creation of his slow descent into blindness."
Booba,"The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings."
Kicko & Super Speedo,This high-energy animated series follows a gutsy kid and his trusty race-car pal as they save their city from bad guys and their scary vehicles.
One Day,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
Love Ni Bhavai,"Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors."
Derek,Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.
Mary Portas: Secret Shopper,Retail consultant Mary Portas collaborates with Britain's most complained-about stores to help them better serve fed-up customers.
Pick of the Litter,Five Labrador puppies embark on a 20-month training to pass the milestones on their journey to becoming guide dogs for people with visual impairment.
They Are Everywhere,"In counseling sessions with his therapist, preoccupied Yvan shares stories of anti-Semitism and what it's like to live as a Jew in modern France."
The Dig,"On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find."
12 ROUND GUN,"Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch."
Rememory,"A psychologist is murdered after unveiling a breakthrough invention that extracts memories, spurring a fixated former patient to hunt for answers."
The Outsiders,A trio of delinquent brothers fends off neighborhood rivals until one joins a gang to gain protection for the upper-class girl he loves.
Mr. Chandramouli,"When the lives of a carefree boxer and his cabdriver dad collide with the ambitions of a ruthless businessman, a search for answers turns to revenge."
Look Who's Back,"When Adolf Hitler reawakens at the site of his former bunker 70 years later, he's mistaken for a brilliant comedian and becomes a media phenomenon."
"Hello, Me!","Miserable and unsuccessful, a woman thinks she's lost all her spark — until one day, her spunky younger self appears in front of her demanding change."
Bumping Mics with Jeff Ross & Dave Attell,"When Jeff Ross and Dave Attell take the stage, no one is safe. With the help of special guests, they're packing a lot of laughs into one epic weekend."
Wild Arabia,The widely varied geology and dramatic landscapes in the continental crossroads of Arabia harbors a rich history and an abundance of wildlife.
In the Tall Grass,"After hearing a boy's cry for help, a pregnant woman and her brother wade into a vast field of grass, only to discover there may be no way out."
Dragonheart: Battle for the Heartfire,"When the king of Brittania dies, the dragon who shares his heart must find a new ruler, but the monarch's grandchildren go to war over the throne."
Shattered Memories,"When her former lover's mysteriously murdered, a woman must clear her name – and avoid the killer."
Astronomy Club: The Sketch Show,"With unique individual perspectives that converge into a unified voice, sketch comedy group Astronomy Club delivers a smart and absurd brand of humor."
Find Yourself,"A determined entrepreneur navigates a love triangle between a young charmer and an older executive, leading her down an unconventional path to love."
The Dancer,"Orphaned by a tragedy that took the lives of her parents, Srintil grows up in a poor Indonesian village aspiring to be a sacred dancer."
Cat People,"Cat people come in all shapes and sizes, but they share a love for their enchanting, unique feline friends. This docuseries reveals their tales."
Westside Story,"Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school, friendship, romance and heartbreak."
Four Seasons in Havana,"As Havana slowly revolves through the year, wistful detective Mario Conde probes the sultry heart of the city to investigate dark and deadly crimes."
The Letter Reader,A young boy from Johannesburg arrives in KwaZulu-Natal and begins to read letters for villagers — then falls in love with one of the recipients.
Circle,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared."
Kal Ho Naa Ho,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.
Pablo Escobar: Angel or Demon?,This documentary traces the steps of druglord Pablo Escobar with vivid eyewitness accounts that reconstruct his bloody reign in Colombia.
Aashik Awara,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths."
Trailer Park Boys: Out of the Park: Europe,"The Trailer Park Boys are thrilled to get a free trip to Europe, until they arrive and learn about their corporate sponsor's unusual requirements."
Solo Con Tu Pareja,A yuppie playboy looks for a quick death after being falsely diagnosed with AIDS by a nurse who was once cheated by the young Casanova.
The Last Bastion,"The Robles family, born and raised in the Americas, experiences the highs and lows of the revolutionary drive to Peru's independence."
A Good Wife,"As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner."
Chhota Bheem: Bheem vs Aliens,Space invaders have kidnapped Dholakpur’s king and princess! The only way Bheem can rescue them? Defeat the aliens in a cricket match.
Carriers,"As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another."
Best.Worst.Weekend.Ever.,"Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another."
The Red Sea Diving Resort,Undercover agents open up a fake hotel to real tourists as a cover to help smuggle thousands of Ethiopian refugees to safety. Inspired by true events.
What She Put on the Table,"Based on the life of TV chef Fu Pei-mei, this drama follows two women – one rich, the other poor – who fortuitously cross paths in 1950s Taiwan."
The Snitch Cartel: Origins,"Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins."
The Sum of All Fears,"CIA agent Jack Ryan tries to discover why three missing Russian nuclear scientists are holed up in the Ukraine, communicating with neo-Nazis."
Amend: The Fight for America,"Will Smith hosts this look at the evolving, often lethal, fight for equal rights in America through the lens of the US Constitution's 14th Amendment."
Love Beats Rhymes,"After enrolling in a college poetry course, a struggling rapper finds inspiration for her new voice through slam poetry."
